faction,page_num,distance,tail,fire,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25
german,211,long,FALSE,none,202,223,223,211,210,223,223,223,223,223,223,194,223,223,223,223,223,223,223,223,186,223,223,223,223,223
german,212,long,FALSE,none,48,115,214,212,58,223,223,223,223,203,116,68,211,155,210,223,215,190,223,202,59,223,223,223,223,223
german,213,long,FALSE,none,5,47,88,213,28,30,23,76,105,6,25,77,29,36,66,45,22,3,104,57,67,56,46,65,55,44
german,214,long,FALSE,none,223,223,223,214,223,215,190,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,215,long,FALSE,none,223,223,223,215,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,216,long,FALSE,none,211,223,223,216,215,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,217,long,FALSE,none,111,223,223,217,208,223,223,223,223,223,223,207,223,223,223,223,223,223,223,223,110,223,223,223,223,223
german,218,long,FALSE,none,112,223,223,218,217,223,223,223,223,223,223,208,223,223,223,223,223,223,223,223,111,223,223,223,223,223
german,219,long,FALSE,none,106,136,199,219,104,223,223,223,223,113,137,45,218,170,217,223,200,176,223,112,105,223,223,223,223,223
german,220,long,FALSE,none,95,96,67,220,47,223,223,223,223,204,117,32,212,156,58,223,216,191,223,48,31,211,203,215,223,223
german,221,long,FALSE,none,85,86,57,221,108,223,223,223,223,142,148,25,220,181,47,223,109,206,223,95,36,212,204,216,223,223
german,222,long,FALSE,none,74,3,6,222,84,221,110,206,142,85,75,26,108,65,25,220,46,56,223,36,35,47,95,57,109,223
german,223,long,FALSE,none,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
